title;realAgent;address;sqm;feature1;feature2;price;link;lon;lat;last_update
'Traumhafte Mietwohnungen in einem der atemberaubendsten Gebäuden Wiens ** ALL-INCLUSIVE-MIETE** **PROVISIONSFREI!!**';Real Immo Wien;1030 Wien, 03. Bezirk, Landstraße;57;1 Zimmer;Balkon, Dachterrasse;1789,07;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/traumhafte-mietwohnungen-in-einem-der-atemberaubendsten-gebaeuden-wiens-all-inclusive-miete-provisionsfrei-637353855/;16,3905024;48,1881739;06.02.23 02:41
4 Zimmer- Galerie- DG-Maisonette-Wohnung mit 3 Terrassen - zu mieten in 1030 Wien;CONCORDIA Real Estate Immobilienvermittlungs GesmbH;1030 Wien, 03. Bezirk, Landstraße;107;4 Zimmer;Terrasse;1990,83;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/4-zimmer-galerie-dg-maisonette-wohnung-mit-3-terrassen-zu-mieten-in-1030-wien-637343071/;16,3905024;48,1881739;07.02.23 02:41
Traumhafte Dachgeschoßwohnung mit einer nicht einsehbaren Terrasse in einem gepflegten Stilalthaus Nähe Donaukanal!;Trimond Immobilienmakler GesmbH;1030 Wien, 03. Bezirk, Landstraße;69;2 Zimmer;Terrasse, Dachterrasse;1098,24;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/traumhafte-dachgeschosswohnung-mit-einer-nicht-einsehbaren-terrasse-in-einem-gepflegten-stilalthaus-naehe-donaukanal-637343010/;16,3905024;48,1881739;08.02.23 02:41
Expats und Diplomaten wohnen in THE AMBASSY: Neubauwohnung mit Loggia für Anspruchsvolle - Conciergeservice inklusive!;Elisabeth Rohr Real Estate;1030 Wien, 03. Bezirk, Landstraße;52;2 Zimmer;Balkon;1213,04;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/expats-und-diplomaten-wohnen-in-the-ambassy-neubauwohnung-mit-loggia-fuer-anspruchsvolle-conciergeservice-inklusive-637312022/;16,3905024;48,1881739;09.02.23 02:41
Tolle Pärchenwohnung 5 Gehminuten bis Wien Mitte oder Radetzkyplatz;Brezina-Real;1030 Wien, 03. Bezirk, Landstraße;74;2 Zimmer;2 Zimmer;897,51;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/tolle-paerchenwohnung-5-gehminuten-bis-wien-mitte-oder-radetzkyplatz-637312059/;16,3905024;48,1881739;10.02.23 02:41
Tolle Pärchenwohnung 5 Gehminuten bis Wien Mitte oder Radetzkyplatz;Brezina-Real;1030 Wien, 03. Bezirk, Landstraße;74;2 Zimmer;2 Zimmer;897,51;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/tolle-paerchenwohnung-5-gehminuten-bis-wien-mitte-oder-radetzkyplatz-637312059/;16,3905024;48,1881739;11.02.23 02:41
Living Belvedere - Die neue Form der WG;SGD-Living GmbH;1030 Wien, 03. Bezirk, Landstraße;80;6 Zimmer;6 Zimmer;430;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/living-belvedere-die-neue-form-der-wg-637308880/;16,3905024;48,1881739;12.02.23 02:41
Top sanierte Mietwohnung in 1030 Wien;realbrokers Immobilien dienstl. GmbH & Co KG;1030 Wien, 03. Bezirk, Landstraße;62;2 Zimmer;2 Zimmer;990;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/top-sanierte-mietwohnung-in-1030-wien-637299803/;16,3905024;48,1881739;13.02.23 02:41
Mietwohnung - 48,40 m2 - 2 Zimmer - nahe Schloss Belvedere - 1030 Wien;A.M.T. Unternehmensberatungs- u Immobilien GesmbH;1030 Wien, 03. Bezirk, Landstraße;48;2 Zimmer;2 Zimmer;784,46;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/mietwohnung-48-40-m-2-zimmer-nahe-schloss-belvedere-1030-wien-637274246/;16,3905024;48,1881739;14.02.23 02:41
Wien Mitte, hofseitig, Nahe Rochusmarkt, 6. OG, 1-Zimmer-Wohnung ,4 Min zur U3, unbefristet;Brehm Immobilien GmbH;1030 Wien, 03. Bezirk, Landstraße;39;1 Zimmer;1 Zimmer;587,98;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/wien-mitte-hofseitig-nahe-rochusmarkt-6-og-1-zimmer-wohnung-4-min-zur-u3-unbefristet-629167101/;16,3905024;48,1881739;15.02.23 02:41
TOP HAUPTMIETE IN DER KUNDMANNGASSE;Ing. Wiesler Real OG;1030 Wien, 03. Bezirk, Landstraße;66;2 Zimmer;2 Zimmer;1059,8;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/top-hauptmiete-in-der-kundmanngasse-632885795/;16,3905024;48,1881739;16.02.23 02:41
TOP HAUPTMIETE IN DER KUNDMANNGASSE;Ing. Wiesler Real OG;1030 Wien, 03. Bezirk, Landstraße;63;1 Zimmer;1 Zimmer;993,3;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/top-hauptmiete-in-der-kundmanngasse-632885797/;16,3905024;48,1881739;17.02.23 02:41
Gemeindewohnung in 1030 mit Balkon zu vergeben! VMD vor 31.08.2020;Privat;1030 Wien, 03. Bezirk, Landstraße;57;2 Zimmer;Balkon;563;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/gemeindewohnung-in-1030-mit-balkon-zu-vergeben-vmd-vor-31-08-2020-637163477/;16,3905024;48,1881739;18.02.23 02:41
TOP HAUPTMIETE IN DER KUNDMANNGASSE;Ing. Wiesler Real OG;1030 Wien, 03. Bezirk, Landstraße;66;2 Zimmer;2 Zimmer;997,8;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/top-hauptmiete-in-der-kundmanngasse-632861013/;16,3905024;48,1881739;19.02.23 02:41
Schöner Wohnen am Schweizergarten;SGD-Living GmbH;1030 Wien, 03. Bezirk, Landstraße;96;3 Zimmer;3 Zimmer;1268,59;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/schoener-wohnen-am-schweizergarten-624735476/;16,3905024;48,1881739;20.02.23 02:41
Erstbezug nach Neu-Saniernug einer 2-Zimmer-Mietwohnung // First occupation upon recent renovation of a 2-roms Rental Apartment //;Valmacor Immobilientreuhand GmbH;1030 Wien, 03. Bezirk, Landstraße;67;2 Zimmer;2 Zimmer;1227,79;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/erstbezug-nach-neu-saniernug-einer-2-zimmer-mietwohnung-first-occupation-upon-recent-renovation-of-a-2-roms-rental-apartment-609885969/;16,3905024;48,1881739;21.02.23 02:41
Erstbezug nach Neu-Saniernug einer 2-Zimmer-Mietwohnung // First occupation upon recent renovation of a 2-roms Rental Apartment //;Valmacor Immobilientreuhand GmbH;1030 Wien, 03. Bezirk, Landstraße;67;2 Zimmer;2 Zimmer;1227,79;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/erstbezug-nach-neu-saniernug-einer-2-zimmer-mietwohnung-first-occupation-upon-recent-renovation-of-a-2-roms-rental-apartment-609885969/;16,3905024;48,1881739;22.02.23 02:41
ab sofort verfügbar: praktische 2 Zimmer Wohnung nähe Donaukanal;Mittelsmann Philipp Sulek GmbH;1030 Wien, 03. Bezirk, Landstraße;49;49 m2;49 m2;855,56;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/ab-sofort-verfuegbar-praktische-2-zimmer-wohnung-naehe-donaukanal-615710077/;16,3905024;48,1881739;23.02.23 02:41
Hochwertige, vollmöblierte und ruhig gelegene 2 Zimmer Wohnung beim Rochusmakrt, inklusive Garagenplatz;Andreas Willmann Immobilienvermittlung;1030 Wien, 03. Bezirk, Landstraße;55;2 Zimmer;2 Zimmer;1849;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/hochwertige-vollmoeblierte-und-ruhig-gelegene-2-zimmer-wohnung-beim-rochusmakrt-inklusive-garagenplatz-600995833/;16,3905024;48,1881739;24.02.23 02:41
3,Belvedere,Prachtvolle DG Wohnung mit Blick auf Wien in einem alten Herrenhaus.;Real Immo Wien;1030 Wien, 03. Bezirk, Landstraße;110;3 Zimmer;Terrasse;2350;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/3-belvedere-prachtvolle-dg-wohnung-mit-blick-auf-wien-in-einem-alten-herrenhaus-630502094/;16,3905024;48,1881739;25.02.23 02:41
"2 Zimmer Wohntraum mitten im 3. Bezirk - ""Wohnung mit Balkon in den Innenhof.""";IMV Makler GmbH;1030 Wien, 03. Bezirk, Landstraße;44;2 Zimmer;Balkon;811,28;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/2-zimmer-wohntraum-mitten-im-3-bezirk-wohnung-mit-balkon-in-den-innenhof-619894769/;16,3905024;48,1881739;26.02.23 02:41
ATEMBERAUBENDER ERSTBEZUG IM TOWER;Betterhomes Real GmbH;1030 Wien, 03. Bezirk, Landstraße;54;1 Zimmer;Terrasse, Balkon, Loggia;1200;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/atemberaubender-erstbezug-im-tower-632486634/;16,3905024;48,1881739;27.02.23 02:41
HELLER ERSTBEZUG IM TOWER;Betterhomes Real GmbH;1030 Wien, 03. Bezirk, Landstraße;54;1 Zimmer;Terrasse, Balkon, Loggia;1200;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/heller-erstbezug-im-tower-632486652/;16,3905024;48,1881739;28.02.23 02:41
2- Zimmer Wohntraum mit französischen Fenstern im Herzen des 3. Bezirks;Plech & Plech Immobilientreuhänder Ges.m.b.H.;1030 Wien, 03. Bezirk, Landstraße;44;2 Zimmer;2 Zimmer;736,15;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/2-zimmer-wohntraum-mit-franzoesischen-fenstern-im-herzen-des-3-bezirks-636392242/;16,3905024;48,1881739;01.03.23 02:41
WESTSEITIGER BALKONTRAUM;IMMOcontract Immobilien Vermittlung GmbH;1030 Wien, 03. Bezirk, Landstraße;53;2 Zimmer;Loggia;820;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/westseitiger-balkontraum-614901123/;16,3905024;48,1881739;02.03.23 02:41
GUT-GESCHNITTENE LOGGIAWOHNUNG ZUM ERSTBEZUG;IMMOcontract Immobilien Vermittlung GmbH;1030 Wien, 03. Bezirk, Landstraße;54;2 Zimmer;Loggia;850;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/gut-geschnittene-loggiawohnung-zum-erstbezug-556252203/;16,3905024;48,1881739;03.03.23 02:41
Sonnige 2-Zimmer DG Wohnung mit Westterrasse;KMS Immobilien GmbH;1030 Wien, 03. Bezirk, Landstraße;78;2 Zimmer;Terrasse;1138,5;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/sonnige-2-zimmer-dg-wohnung-mit-westterrasse-627723138/;16,3905024;48,1881739;04.03.23 02:41
Unbefristeter 101m2 Altbau mit 3 Zimmern und Einbauküche - 1030 Wien;SITARZ & PARTNER IMMOBILIEN GMBH;1030 Wien, 03. Bezirk, Landstraße;101;3 Zimmer;3 Zimmer;1292;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/unbefristeter-101m-altbau-mit-3-zimmern-und-einbaukueche-1030-wien-607282450/;16,3905024;48,1881739;05.03.23 02:41
Landstraßer Hauptstraße bei Wien Mitte! Großzügige Altbauwohnung!;Hubner Immobilien;1030 Wien, 03. Bezirk, Landstraße;162;5 Zimmer;Balkon, Loggia;2175;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/landstrasser-hauptstrasse-bei-wien-mitte-grosszuegige-altbauwohnung-623774844/;16,3905024;48,1881739;06.03.23 02:41
Wiener Altbauflair - Prachtvolle und sehr stilvolle Altbauwohnung in hervorragender Lage;Dimag Die Immobilienagentur GmbH;1030 Wien, 03. Bezirk, Landstraße;210;5 Zimmer;Balkon;2760;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/wiener-altbauflair-prachtvolle-und-sehr-stilvolle-altbauwohnung-in-hervorragender-lage-627711472/;16,3905024;48,1881739;07.03.23 02:41
Wiener Altbauflair - Prachtvolle und sehr stilvolle Altbauwohnung in hervorragender Lage;Dimag Die Immobilienagentur GmbH;1030 Wien, 03. Bezirk, Landstraße;210;5 Zimmer;Balkon;2760;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/wiener-altbauflair-prachtvolle-und-sehr-stilvolle-altbauwohnung-in-hervorragender-lage-627711472/;16,3905024;48,1881739;08.03.23 02:41
WUNDERSCHÖNE 2-ZIMMERWOHNUNG IN DER BESTEN LAGE;RT IMMOBILIEN Buchwieser&Toth GmbH;1030 Wien, 03. Bezirk, Landstraße;45;2 Zimmer;2 Zimmer;838,75;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/wunderschoene-2-zimmerwohnung-in-der-besten-lage-600783074/;16,3905024;48,1881739;09.03.23 02:41
TRAUMHAFTER GRÜNBLICK MIT BALKON!;IMMOcontract Immobilien Vermittlung GmbH;1030 Wien, 03. Bezirk, Landstraße;57;2 Zimmer;Balkon, Loggia;899;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/traumhafter-gruenblick-mit-balkon-555029299/;16,3905024;48,1881739;10.03.23 02:41
Ruhige, moderne 2-Zimmer Nebauwohnung - Energieklasse A++ Fernwärme klimaaktiv gold!!!;Hubner Immobilien;1030 Wien, 03. Bezirk, Landstraße;45;2 Zimmer;Balkon;801,8;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/ruhige-moderne-2-zimmer-nebauwohnung-energieklasse-a-fernwaerme-klimaaktiv-gold-616020420/;16,3905024;48,1881739;11.03.23 02:41
Apostelgasse: Top-ausgestattete Neubauwohnung! Gemeinschaftsgarten!!!;Hubner Immobilien;1030 Wien, 03. Bezirk, Landstraße;44;2 Zimmer;2 Zimmer;825;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/apostelgasse-top-ausgestattete-neubauwohnung-gemeinschaftsgarten-617904989/;16,3905024;48,1881739;12.03.23 02:41
2-Zimmer ERSTBEZUG Wohnung + Balkon, TrIIIple Living!;IMMO AGENCY GmbH;1030 Wien, 03. Bezirk, Landstraße;57;2 Zimmer;Balkon;1200;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/2-zimmer-erstbezug-wohnung-balkon-triiiple-living-561678623/;16,3905024;48,1881739;13.03.23 02:41
SONNENDURCHFLUTETE LOGGIAWOHNUNG ZUM ERSTBEZUG;IMMOcontract Immobilien Vermittlung GmbH;1030 Wien, 03. Bezirk, Landstraße;45;2 Zimmer;Balkon, Loggia;840;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/sonnendurchflutete-loggiawohnung-zum-erstbezug-580465398/;16,3905024;48,1881739;14.03.23 02:41
Belvedere/Prachtvolle DG Wohnung mit Blick auf Wien in einem alten Herrenhaus.;Real Immo Wien;1030 Wien, 03. Bezirk, Landstraße;129;4 Zimmer;Terrasse;3000,13;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/belvedere-prachtvolle-dg-wohnung-mit-blick-auf-wien-in-einem-alten-herrenhaus-616586334/;16,3905024;48,1881739;15.03.23 02:41
Balkonwohnung zum Erstbezug mit Fußbodenheizung- und Kühlfunktion!;IMMOcontract Immobilien Vermittlung GmbH;1030 Wien, 03. Bezirk, Landstraße;57;2 Zimmer;Balkon, Loggia;930,01;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/balkonwohnung-zum-erstbezug-mit-fussbodenheizung-und-kuehlfunktion-579963039/;16,3905024;48,1881739;16.03.23 02:41
HOFRUHELAGE!!! 9m2 Außenfläche!!! Hohes Stockwerk (6. OG)!;Hubner Immobilien;1030 Wien, 03. Bezirk, Landstraße;51;2 Zimmer;Balkon, Loggia;949;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/hofruhelage-9m-aussenflaeche-hohes-stockwerk-6-og-618530730/;16,3905024;48,1881739;17.03.23 02:41
Südseitige, sonnige Terrassen-Dachgeschoss-Wohnung - Nähe HTL Rennweg!!;Hubner Immobilien;1030 Wien, 03. Bezirk, Landstraße;46;2 Zimmer;Balkon;953,8;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/suedseitige-sonnige-terrassen-dachgeschoss-wohnung-naehe-htl-rennweg-625835776/;16,3905024;48,1881739;18.03.23 02:41
3. Stock! Das ist ein Traum! 2 Zimmer Erstbezug! Fußbodenheizung und Fußbodenkühlung;IMMOcontract Immobilien Vermittlung GmbH;1030 Wien, 03. Bezirk, Landstraße;55;2 Zimmer;Balkon, Loggia;960;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/3-stock-das-ist-ein-traum-2-zimmer-erstbezug-fussbodenheizung-und-fussbodenkuehlung-606079934/;16,3905024;48,1881739;19.03.23 02:41
Wunderschöne Dachgeschosswohnung im 3. Bezirk zum Mieten;IMMOcontract Immobilien Vermittlung GmbH;1030 Wien, 03. Bezirk, Landstraße;130;Terrasse;Terrasse;2300;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/wunderschoene-dachgeschosswohnung-im-3-bezirk-zum-mieten-626104830/;16,3905024;48,1881739;20.03.23 02:41
360° TOUR // NEUBAUWOHNUNG am MODENAPARK;KALANDRA Immobilien;1030 Wien, 03. Bezirk, Landstraße;35;1 Zimmer;1 Zimmer;644,99;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/360-tour-neubauwohnung-am-modenapark-611216037/;16,3905024;48,1881739;21.03.23 02:41
EUROGATE: Außergewöhnliche Loft-Wohnung mit riesiger Terrasse im Passivhaus in 1030 Wien zu mieten;ÖRAG Immobilien Vermittlung GmbH;1030 Wien, 03. Bezirk, Landstraße;54;1 Zimmer;Terrasse;1244,24;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/eurogate-aussergewoehnliche-loft-wohnung-mit-riesiger-terrasse-im-passivhaus-in-1030-wien-zu-mieten-613219711/;16,3905024;48,1881739;22.03.23 02:41
Botschaftsviertel - Unbefristet und Ablösefrei! Praktische 2 Zimmer Wohnung!;IMMOcontract Immobilien Vermittlung GmbH;1030 Wien, 03. Bezirk, Landstraße;60;2 Zimmer;2 Zimmer;1150;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/botschaftsviertel-unbefristet-und-abloesefrei-praktische-2-zimmer-wohnung-623814647/;16,3905024;48,1881739;23.03.23 02:41
Botschaftsviertel - Unbefristet und Ablösefrei! Praktische 1 Zimmer Wohnung!;IMMOcontract Immobilien Vermittlung GmbH;1030 Wien, 03. Bezirk, Landstraße;41;1 Zimmer;1 Zimmer;850;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/botschaftsviertel-unbefristet-und-abloesefrei-praktische-1-zimmer-wohnung-623809196/;16,3905024;48,1881739;24.03.23 02:41
Botschaftsviertel - Unbefristet und Ablösefrei! Praktische 2 Zimmer Wohnung!;IMMOcontract Immobilien Vermittlung GmbH;1030 Wien, 03. Bezirk, Landstraße;57;2 Zimmer;2 Zimmer;950;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/botschaftsviertel-unbefristet-und-abloesefrei-praktische-2-zimmer-wohnung-623804421/;16,3905024;48,1881739;25.03.23 02:41
ERSTBEZUG-LOGGIAWOHNUNG MIT WEST-AUSRICHTUNG;IMMOcontract Immobilien Vermittlung GmbH;1030 Wien, 03. Bezirk, Landstraße;49;2 Zimmer;Loggia;880;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/erstbezug-loggiawohnung-mit-west-ausrichtung-601604008/;16,3905024;48,1881739;26.03.23 02:41
Botschaftsviertel - Unbefristet und Ablösefrei! 4 Zimmer-Dachgeschoss-Wohnung mit Terrasse!;IMMOcontract Immobilien Vermittlung GmbH;1030 Wien, 03. Bezirk, Landstraße;113;4 Zimmer;Terrasse;1850;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/botschaftsviertel-unbefristet-und-abloesefrei-4-zimmer-dachgeschoss-wohnung-mit-terrasse-623784425/;16,3905024;48,1881739;27.03.23 02:41
LAENDYARD Wohnen am Donaukanal - Helle Balkonwohnung mit 2 Zimmern;IMV Makler GmbH;1030 Wien, 03. Bezirk, Landstraße;41;2 Zimmer;Balkon;843,21;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/laendyard-wohnen-am-donaukanal-helle-balkonwohnung-mit-2-zimmern-627988939/;16,3905024;48,1881739;28.03.23 02:41
Wohnen mit Weitblick - TrIIIple Vienna - Nähe Prater;Matthias Schiffer ImmobilientreuhandgmbH;1030 Wien, 03. Bezirk, Landstraße;49;Balkon;Balkon;1346,65;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/wohnen-mit-weitblick-triiiple-vienna-naehe-prater-627972450/;16,3905024;48,1881739;29.03.23 02:41
